# EMShieldDesigner - Frequency Sweep Results
# Single-section enclosure with aperture
#
f_GHz,SE_dB,Trans,V1_real,V1_imag,V2_real,V2_imag,|V1|,|V2|
1.000000000,inf,0.000000000,-0.243129188,-0.428972477,0.000000000,0.000000000,0.493081319,0.000000000
1.095000000,inf,0.000000000,-0.307592089,-0.461496691,0.000000000,0.000000000,0.554609853,0.000000000
1.190000000,inf,0.000000000,-0.383940832,-0.486343777,0.000000000,0.000000000,0.619629592,0.000000000
1.285000000,inf,0.000000000,-0.472788545,-0.499258987,0.000000000,0.000000000,0.687596207,0.000000000
1.380000000,inf,0.000000000,-0.573352725,-0.494590111,0.000000000,0.000000000,0.757200584,0.000000000
1.475000000,inf,0.000000000,-0.682291326,-0.465585515,0.000000000,0.000000000,0.826009277,0.000000000
1.570000000,inf,0.000000000,-0.792377227,-0.405605173,0.000000000,0.000000000,0.890155732,0.000000000
1.665000000,inf,0.000000000,-0.891788372,-0.310647503,0.000000000,0.000000000,0.944345473,0.000000000
1.760000000,inf,0.000000000,-0.965379453,-0.182816751,0.000000000,0.000000000,0.982537252,0.000000000
1.855000000,inf,0.000000000,-0.998922988,-0.032800174,0.000000000,0.000000000,0.999461349,0.000000000
1.950000000,inf,0.000000000,-0.985028599,0.121438288,0.000000000,0.000000000,0.992486070,0.000000000
2.045000000,inf,0.000000000,-0.926828066,0.260418513,0.000000000,0.000000000,0.962719100,0.000000000
2.140000000,inf,0.000000000,-0.836366656,0.369942526,0.000000000,0.000000000,0.914530839,0.000000000
2.235000000,inf,0.000000000,-0.729082336,0.444433666,0.000000000,0.000000000,0.853863183,0.000000000
2.330000000,inf,0.000000000,-0.618516139,0.485750887,0.000000000,0.000000000,0.786457970,0.000000000
2.425000000,inf,0.000000000,-0.513822997,0.499808888,0.000000000,0.000000000,0.716814479,0.000000000
2.520000000,inf,0.000000000,-0.419829215,0.493530794,0.000000000,0.000000000,0.647942293,0.000000000
2.615000000,inf,0.000000000,-0.338234074,0.473108640,0.000000000,0.000000000,0.581578949,0.000000000
